"id","instrument_id","open","close","low","high","volume","open_interest","datetime","net_diff","obi_max","obi_min","amom_sum","wall_ask","wall_bid"
"4222","ru2609","17790","17790","17785","17795","624","205017","2026-05-11 14:37:00","0","0.2007","-0.0287","47","[]","[]"
"4223","ru2609","17790","17825","17790","17825","1154","205069","2026-05-11 14:38:00","289","0.2343","-0.2338","30","[]","[]"
"4224","ru2609","17820","17830","17820","17840","938","205051","2026-05-11 14:39:00","101","0.056","-0.196","24","[]","[]"
"4225","ru2609","17830","17830","17825","17835","389","205024","2026-05-11 14:40:00","-51","0","-0.2824","0","[]","[]"
"4226","ru2609","17830","17835","17825","17840","565","205088","2026-05-11 14:41:00","2","0","-0.24","-27","[]","[]"
"4227","ru2609","17835","17830","17830","17835","236","205096","2026-05-11 14:42:00","-154","0","-0.2337","0","[]","[]"
"4228","ru2609","17835","17830","17820","17835","875","205063","2026-05-11 14:43:00","28","0.0413","-0.1906","34","[]","[]"
"4229","ru2609","17830","17835","17830","17840","256","205033","2026-05-11 14:44:00","-99","0.0476","-0.2441","0","[]","[]"
"4230","ru2609","17835","17835","17830","17840","386","204941","2026-05-11 14:45:00","0","0.0079","-0.2285","0","[]","[]"
"4231","ru2609","17840","17845","17835","17845","691","204943","2026-05-11 14:46:00","82","0","-0.1921","34","[]","[]"
"4232","ru2609","17845","17850","17835","17855","1101","204900","2026-05-11 14:47:00","61","0.1744","-0.2372","80","[]","[]"
"4233","ru2609","17850","17850","17845","17870","1166","204989","2026-05-11 14:48:00","124","0.06","-0.4613","42","[]","[]"
"4234","ru2609","17850","17855","17845","17860","679","205078","2026-05-11 14:49:00","0","0.0255","-0.494","11","[[17880.0, 433]]","[]"
"4235","ru2609","17850","17860","17850","17860","639","205181","2026-05-11 14:50:00","-68","0.0505","-0.4034","83","[]","[]"
"4236","ru2609","17860","17840","17840","17860","997","205297","2026-05-11 14:51:00","2","0.1477","-0.3556","-58","[]","[]"
"4237","ru2609","17840","17840","17840","17850","321","205303","2026-05-11 14:52:00","-57","0.1716","-0.1009","0","[]","[]"
"4238","ru2609","17840","17845","17840","17850","365","205270","2026-05-11 14:53:00","0","0.1383","-0.0431","24","[]","[]"
"4239","ru2609","17845","17845","17845","17855","338","205212","2026-05-11 14:54:00","0","0.1119","-0.0946","0","[]","[]"
"4240","ru2609","17845","17840","17835","17850","917","205212","2026-05-11 14:55:00","-161","0.1397","-0.0804","-34","[]","[]"
"4241","ru2609","17840","17860","17835","17860","687","205249","2026-05-11 14:56:00","0","0.1397","-0.3428","32","[]","[]"
"4242","ru2609","17860","17860","17850","17865","617","205160","2026-05-11 14:57:00","65","0","-0.4269","-28","[]","[]"
"4243","ru2609","17855","17860","17855","17870","711","205172","2026-05-11 14:58:00","219","0","-0.4085","-31","[]","[]"
"4244","ru2609","17860","17870","17860","17875","1004","205111","2026-05-11 14:59:00","35","0","-0.4313","38","[]","[]"
"4245","ru2609","17870","17865","17865","17880","1366","204956","2026-05-11 15:00:00","-161","0.3921","-0.4752","-53","[]","[]"
"4246","ru2609","17890","17915","17890","17925","6672","204966","2026-05-11 21:01:00","467","0.6212","-0.2493","-93","[]","[]"
"4247","ru2609","17915","17880","17875","17915","3648","205071","2026-05-11 21:02:00","-288","0.3061","-0.1745","31","[]","[]"
"4248","ru2609","17885","17880","17865","17890","2442","205425","2026-05-11 21:03:00","-84","0.4002","-0.0386","-87","[]","[]"
"4249","ru2609","17885","17895","17880","17905","1915","205616","2026-05-11 21:04:00","82","0.2783","-0.093","68","[]","[]"
"4250","ru2609","17895","17880","17875","17895","1101","205841","2026-05-11 21:05:00","-201","0.2044","-0.0244","40","[]","[]"
"4251","ru2609","17880","17870","17865","17880","1928","205778","2026-05-11 21:06:00","313","0.2951","-0.2149","-75","[]","[]"
"4252","ru2609","17865","17850","17845","17875","2273","205789","2026-05-11 21:07:00","-376","0.1609","-0.2843","-142","[]","[]"
"4253","ru2609","17850","17850","17845","17855","1117","205843","2026-05-11 21:08:00","-62","0.027","-0.2572","2","[]","[]"
"4254","ru2609","17845","17835","17830","17850","1556","205924","2026-05-11 21:09:00","35","0.1482","-0.2196","-26","[]","[]"
"4255","ru2609","17835","17830","17830","17845","1137","206093","2026-05-11 21:10:00","-132","0.1847","-0.1982","27","[]","[]"
"4256","ru2609","17835","17835","17820","17835","1475","206087","2026-05-11 21:11:00","164","0.1303","-0.1742","-3","[]","[]"
"4257","ru2609","17835","17840","17830","17840","656","206177","2026-05-11 21:12:00","83","0.1641","-0.0661","27","[]","[]"
"4258","ru2609","17840","17860","17840","17860","1316","206252","2026-05-11 21:13:00","58","0.2173","-0.1024","84","[]","[]"
"4259","ru2609","17860","17870","17850","17870","1472","206499","2026-05-11 21:14:00","307","0.205","-0.1194","150","[]","[]"
"4260","ru2609","17865","17865","17860","17870","770","206659","2026-05-11 21:15:00","0","0.1702","-0.0889","-90","[]","[]"
"4261","ru2609","17865","17850","17850","17865","621","206774","2026-05-11 21:16:00","-74","0.0752","-0.1724","-34","[]","[]"
"4262","ru2609","17850","17865","17850","17865","976","206847","2026-05-11 21:17:00","-70","0","-0.2357","60","[]","[]"
"4263","ru2609","17860","17855","17855","17865","238","206845","2026-05-11 21:18:00","0","0","-0.2462","0","[]","[]"
"4264","ru2609","17855","17850","17850","17860","469","206856","2026-05-11 21:19:00","0","0.0344","-0.2467","-14","[]","[]"
"4265","ru2609","17850","17850","17845","17855","701","207011","2026-05-11 21:20:00","196","0.1084","-0.2195","65","[]","[]"
"4266","ru2609","17850","17840","17835","17850","1142","207037","2026-05-11 21:21:00","-12","0.1807","-0.1768","-41","[]","[]"
"4267","ru2609","17845","17845","17840","17850","293","207045","2026-05-11 21:22:00","0","0.1967","-0.1593","0","[]","[]"
"4268","ru2609","17845","17855","17845","17855","252","207017","2026-05-11 21:23:00","0","0.0379","-0.1481","22","[]","[]"
"4269","ru2609","17855","17855","17850","17855","206","207019","2026-05-11 21:24:00","0","0.0743","-0.1086","0","[]","[]"
"4270","ru2609","17855","17855","17850","17855","338","206947","2026-05-11 21:25:00","-64","0.0618","-0.2637","0","[]","[]"
"4271","ru2609","17850","17860","17850","17860","212","206944","2026-05-11 21:26:00","0","0.0047","-0.2339","0","[]","[]"
"4272","ru2609","17860","17850","17850","17865","567","206981","2026-05-11 21:27:00","5","0.0637","-0.2216","-33","[]","[]"
"4273","ru2609","17845","17845","17845","17855","339","206991","2026-05-11 21:28:00","-102","0.1355","-0.109","0","[]","[]"
"4274","ru2609","17845","17845","17840","17850","559","207098","2026-05-11 21:29:00","-92","0.2105","-0.1264","23","[]","[]"
"4275","ru2609","17850","17850","17845","17850","181","207061","2026-05-11 21:30:00","0","0.0656","-0.0986","0","[]","[]"
"4276","ru2609","17850","17850","17840","17850","366","207113","2026-05-11 21:31:00","0","0.2142","-0.0985","-42","[]","[]"
"4277","ru2609","17845","17870","17845","17870","569","207026","2026-05-11 21:32:00","229","0.1224","-0.1047","18","[]","[]"
"4278","ru2609","17870","17870","17865","17890","1607","206971","2026-05-11 21:33:00","-118","0.2038","-0.2368","78","[]","[]"
"4279","ru2609","17865","17870","17860","17870","381","207066","2026-05-11 21:34:00","90","0.0945","-0.1421","0","[]","[]"
"4280","ru2609","17870","17865","17860","17870","360","207221","2026-05-11 21:35:00","-67","0.0821","-0.1525","-59","[]","[]"
"4281","ru2609","17860","17865","17860","17865","305","207302","2026-05-11 21:36:00","79","0.0473","-0.0615","-12","[]","[]"
"4282","ru2609","17865","17870","17860","17870","501","207289","2026-05-11 21:37:00","-58","0.1358","-0.0951","0","[]","[]"
