entry_idx,exit_idx,entry_price,exit_price,direction,hold_ticks,pnl,reason,direction_str
610,611,17675.0,17685.0,-1,1,-106.0,SL,空
611,612,17680.0,17690.0,-1,1,-106.0,SL,空
612,614,17685.0,17695.0,-1,2,-106.0,SL,空
615,623,17695.0,17685.0,-1,8,94.0,TP,空
635,644,17685.0,17695.0,-1,9,-106.0,SL,空
646,648,17695.0,17705.0,-1,2,-106.0,SL,空
711,714,17735.0,17745.0,-1,3,-106.0,SL,空
747,754,17735.0,17725.0,-1,7,94.0,TP,空
785,786,17720.0,17730.0,-1,1,-106.0,SL,空
786,803,17725.0,17715.0,-1,17,94.0,TP,空
824,829,17705.0,17715.0,-1,5,-106.0,SL,空
831,833,17715.0,17725.0,-1,2,-106.0,SL,空
833,837,17720.0,17730.0,-1,4,-106.0,SL,空
840,843,17725.0,17735.0,-1,3,-106.0,SL,空
923,968,17715.0,17705.0,-1,45,94.0,TP,空
986,1046,17705.0,17705.0,-1,60,-6.0,TIMEOUT,空
1236,1237,17695.0,17705.0,-1,1,-106.0,SL,空
1238,1239,17705.0,17715.0,-1,1,-106.0,SL,空
1240,1241,17710.0,17720.0,-1,1,-106.0,SL,空
1241,1256,17715.0,17705.0,-1,15,94.0,TP,空
1276,1304,17695.0,17705.0,-1,28,-106.0,SL,空
1337,1340,17705.0,17715.0,-1,3,-106.0,SL,空
1374,1402,17720.0,17730.0,-1,28,-106.0,SL,空
1437,1440,17740.0,17750.0,-1,3,-106.0,SL,空
1443,1471,17755.0,17745.0,-1,28,94.0,TP,空
1547,1551,17755.0,17765.0,-1,4,-106.0,SL,空
1552,1554,17765.0,17775.0,-1,2,-106.0,SL,空
1554,1614,17770.0,17770.0,-1,60,-6.0,TIMEOUT,空
1636,1637,17765.0,17775.0,-1,1,-106.0,SL,空
1650,1652,17775.0,17785.0,-1,2,-106.0,SL,空
1693,1700,17800.0,17790.0,1,7,-106.0,SL,多
1790,1801,17780.0,17790.0,-1,11,-106.0,SL,空
1810,1813,17790.0,17800.0,-1,3,-106.0,SL,空
1854,1855,17815.0,17825.0,-1,1,-106.0,SL,空
1855,1877,17820.0,17810.0,-1,22,94.0,TP,空
1966,1983,17805.0,17795.0,1,17,-106.0,SL,多
2016,2076,17805.0,17800.0,-1,60,44.0,TIMEOUT,空
2092,2093,17805.0,17815.0,-1,1,-106.0,SL,空
2093,2094,17805.0,17815.0,-1,1,-106.0,SL,空
2096,2108,17815.0,17825.0,-1,12,-106.0,SL,空
2129,2132,17820.0,17830.0,-1,3,-106.0,SL,空
2170,2171,17825.0,17835.0,-1,1,-106.0,SL,空
2171,2172,17830.0,17840.0,-1,1,-106.0,SL,空
2172,2209,17835.0,17825.0,-1,37,94.0,TP,空
2245,2246,17815.0,17825.0,-1,1,-106.0,SL,空
2249,2275,17820.0,17830.0,-1,26,-106.0,SL,空
2296,2320,17820.0,17810.0,1,24,-106.0,SL,多
2398,2400,17820.0,17830.0,-1,2,-106.0,SL,空
2543,2544,17810.0,17820.0,-1,1,-106.0,SL,空
2565,2567,17815.0,17825.0,-1,2,-106.0,SL,空
2663,2672,17805.0,17795.0,1,9,-106.0,SL,多
2705,2739,17810.0,17800.0,-1,34,94.0,TP,空
2861,2863,17820.0,17830.0,-1,2,-106.0,SL,空
2890,2917,17810.0,17820.0,1,27,94.0,TP,多
2919,2979,17820.0,17825.0,-1,60,-56.0,TIMEOUT,空
3036,3037,17825.0,17815.0,1,1,-106.0,SL,多
3048,3051,17810.0,17800.0,1,3,-106.0,SL,多
3074,3132,17805.0,17815.0,-1,58,-106.0,SL,空
3184,3198,17805.0,17795.0,1,14,-106.0,SL,多
3200,3260,17800.0,17800.0,1,60,-6.0,TIMEOUT,多
3296,3297,17830.0,17840.0,-1,1,-106.0,SL,空
3297,3298,17835.0,17845.0,-1,1,-106.0,SL,空
3298,3299,17840.0,17850.0,-1,1,-106.0,SL,空
3299,3300,17845.0,17855.0,-1,1,-106.0,SL,空
3300,3301,17850.0,17860.0,-1,1,-106.0,SL,空
3301,3302,17855.0,17865.0,-1,1,-106.0,SL,空
3302,3303,17860.0,17870.0,-1,1,-106.0,SL,空
3331,3350,17855.0,17845.0,1,19,-106.0,SL,多
3394,3401,17855.0,17865.0,-1,7,-106.0,SL,空
3405,3408,17865.0,17875.0,-1,3,-106.0,SL,空
3496,3528,17865.0,17875.0,-1,32,-106.0,SL,空
3642,3643,17880.0,17890.0,-1,1,-106.0,SL,空
3644,3683,17890.0,17880.0,-1,39,94.0,TP,空
3692,3706,17870.0,17860.0,-1,14,94.0,TP,空
3706,3734,17860.0,17850.0,1,28,-106.0,SL,多
3835,3836,17855.0,17845.0,1,1,-106.0,SL,多
3998,4010,17865.0,17855.0,1,12,-106.0,SL,多
4042,4043,17865.0,17855.0,1,1,-106.0,SL,多
4052,4074,17860.0,17870.0,1,22,94.0,TP,多
4075,4076,17870.0,17880.0,-1,1,-106.0,SL,空
4076,4077,17875.0,17885.0,-1,1,-106.0,SL,空
4086,4116,17885.0,17875.0,-1,30,94.0,TP,空
4158,4212,17880.0,17870.0,-1,54,94.0,TP,空
4288,4293,17860.0,17870.0,-1,5,-106.0,SL,空
4354,4355,17880.0,17890.0,-1,1,-106.0,SL,空
4355,4356,17880.0,17890.0,-1,1,-106.0,SL,空
4392,4393,17865.0,17855.0,1,1,-106.0,SL,多
4404,4429,17855.0,17865.0,1,25,94.0,TP,多
4436,4438,17870.0,17880.0,-1,2,-106.0,SL,空
4568,4579,17865.0,17875.0,-1,11,-106.0,SL,空
4722,4724,17845.0,17835.0,1,2,-106.0,SL,多
4764,4808,17830.0,17820.0,1,44,-106.0,SL,多
4848,4849,17840.0,17850.0,-1,1,-106.0,SL,空
4860,4865,17845.0,17835.0,-1,5,94.0,TP,空
5086,5087,17845.0,17835.0,1,1,-106.0,SL,多
5087,5147,17840.0,17840.0,1,60,-6.0,TIMEOUT,多
5153,5156,17860.0,17870.0,-1,3,-106.0,SL,空
5160,5169,17875.0,17885.0,-1,9,-106.0,SL,空
5259,5319,17875.0,17870.0,-1,60,44.0,TIMEOUT,空
5469,5470,17865.0,17875.0,-1,1,-106.0,SL,空
5497,5514,17870.0,17860.0,1,17,-106.0,SL,多
5523,5526,17865.0,17855.0,1,3,-106.0,SL,多
5901,5908,17870.0,17880.0,-1,7,-106.0,SL,空
6005,6027,17880.0,17890.0,-1,22,-106.0,SL,空
6051,6052,17905.0,17915.0,-1,1,-106.0,SL,空
6052,6063,17905.0,17915.0,-1,11,-106.0,SL,空
6418,6422,17890.0,17900.0,-1,4,-106.0,SL,空
6440,6500,17900.0,17900.0,-1,60,-6.0,TIMEOUT,空
6528,6542,17900.0,17910.0,-1,14,-106.0,SL,空
6544,6604,17910.0,17915.0,-1,60,-56.0,TIMEOUT,空
6616,6618,17925.0,17935.0,-1,2,-106.0,SL,空
6618,6619,17930.0,17940.0,-1,1,-106.0,SL,空
6993,6994,17915.0,17905.0,1,1,-106.0,SL,多
7131,7135,17895.0,17905.0,-1,4,-106.0,SL,空
7160,7212,17895.0,17885.0,1,52,-106.0,SL,多
7231,7232,17910.0,17920.0,-1,1,-106.0,SL,空
7232,7292,17915.0,17910.0,-1,60,44.0,TIMEOUT,空
7433,7434,17915.0,17925.0,-1,1,-106.0,SL,空
7671,7731,17930.0,17925.0,-1,60,44.0,TIMEOUT,空
7813,7873,17930.0,17930.0,-1,60,-6.0,TIMEOUT,空
7994,7996,17925.0,17935.0,-1,2,-106.0,SL,空
7996,8000,17930.0,17940.0,-1,4,-106.0,SL,空
8075,8135,17945.0,17945.0,-1,60,-6.0,TIMEOUT,空
8394,8454,17925.0,17920.0,-1,60,44.0,TIMEOUT,空
8523,8525,17930.0,17940.0,-1,2,-106.0,SL,空
8561,8621,17925.0,17925.0,1,60,-6.0,TIMEOUT,多
8679,8739,17920.0,17915.0,1,60,-56.0,TIMEOUT,多
8972,8973,17920.0,17910.0,1,1,-106.0,SL,多
8973,8974,17915.0,17905.0,1,1,-106.0,SL,多
8974,8975,17910.0,17900.0,1,1,-106.0,SL,多
8975,8978,17905.0,17895.0,1,3,-106.0,SL,多
8983,9043,17910.0,17905.0,-1,60,44.0,TIMEOUT,空
9053,9055,17910.0,17920.0,-1,2,-106.0,SL,空
9055,9115,17915.0,17915.0,-1,60,-6.0,TIMEOUT,空
9332,9333,17905.0,17895.0,1,1,-106.0,SL,多
9333,9334,17900.0,17890.0,1,1,-106.0,SL,多
10289,10329,17915.0,17925.0,-1,40,-106.0,SL,空
10329,10389,17920.0,17925.0,-1,60,-56.0,TIMEOUT,空
11156,11211,17940.0,17930.0,-1,55,94.0,TP,空
11232,11253,17920.0,17910.0,1,21,-106.0,SL,多
11537,11597,17905.0,17900.0,1,60,-56.0,TIMEOUT,多
11640,11700,17905.0,17905.0,1,60,-6.0,TIMEOUT,多
11793,11853,17925.0,17920.0,-1,60,44.0,TIMEOUT,空
12008,12015,17920.0,17930.0,-1,7,-106.0,SL,空
12323,12362,17880.0,17870.0,1,39,-106.0,SL,多
12389,12402,17865.0,17855.0,1,13,-106.0,SL,多
12801,12842,17865.0,17855.0,1,41,-106.0,SL,多
12842,12882,17860.0,17870.0,1,40,94.0,TP,多
12991,13051,17875.0,17870.0,1,60,-56.0,TIMEOUT,多
13098,13125,17870.0,17860.0,1,27,-106.0,SL,多
